,STOCK,ANN,SVM,KNN,LR,acc_ANN_train,acc_ANN_test,acc_SVM_train,acc_SVM_test,acc_KNN_train,acc_KNN_test,acc_LR_train,acc_LR_test
38,EMR,-0.771072268486023,0.00891608365291045,1.087943899340836,1.5810535116258846,0.5595117054296049,0.5000000012114765,0.6775178026449644,0.4959349593495935,0.6205493387589013,0.5284552845528455,0.5239064089521872,0.42276422764227645
39,EMN,-2.6855247020721436,-0.4042689104756115,-0.024806203175722224,-2.250632164779193,0.5635808818610736,0.46747967237379495,0.6917599186164801,0.5040650406504065,0.612410986775178,0.491869918699187,0.5412004069175992,0.5121951219512195
40,EL,-1.3044131994247437,-0.8296578530887975,-5.4703842772884705,-3.381051268008119,0.5635808826190166,0.540650406504065,0.669379450661241,0.5528455284552846,0.6012207527975585,0.540650406504065,0.5178026449643948,0.4796747967479675
41,EIX,1.4719353914260864,-1.2211852653125435,-1.150249173081153,2.0077070130444925,0.5320447666659602,0.5162601601786729,0.6520854526958291,0.3943089430894309,0.6073245167853509,0.508130081300813,0.5361139369277721,0.5121951219512195
42,EFX,-0.4151531755924225,0.13281476141679896,0.1133793078258706,-0.3221942463488529,0.5391658273651544,0.5569105703171676,0.7365208545269583,0.5813008130081301,0.6459816887080366,0.5121951219512195,0.5320447609359105,0.540650406504065
43,ED,0.3290773928165436,-2.9509406342803564,-3.6756398371668886,-1.0423506451659592,0.5778229981812432,0.5528455282129893,0.6327568667344863,0.44715447154471544,0.6195320447609359,0.4878048780487805,0.5523906408952187,0.5284552845528455
44,ECL,-4.996003150939941,-0.31879785939032357,-2.7854673832702956,1.6562810417184732,0.5483214702999119,0.4878048780487805,0.7182095625635809,0.556910569105691,0.6286876907426246,0.46747967479674796,0.54323499491353,0.5487804878048781
45,EBAY,-1.933911919593811,-1.8250496291883496,-1.835457858212282,-0.8523648832947329,0.5483214706030891,0.5121951195282665,0.6195320447609359,0.4796747967479675,0.6236012207527976,0.45528455284552843,0.5279755849440488,0.5528455284552846
46,EA,-0.2484518587589264,-0.06478012779672516,-3.784766786046471,-1.230250952133674,0.5462868833954191,0.49186991991066353,0.6998982706002035,0.573170731707317,0.6307222787385555,0.4349593495934959,0.5452695829094608,0.5365853658536586
47,D,0.8770447969436646,-1.4785383081588657,-4.241088851307971,-0.07085688111877976,0.53814853028994,0.5609756112098694,0.6256358087487284,0.483739837398374,0.6388606307222787,0.45528455284552843,0.5473041709053916,0.45934959349593496
48,DXC,-0.07966122776269913,-2.570543457325111,-2.7575874125533373,0.4337871794886066,0.6959459503760209,0.5405405413460087,0.7027027027027027,0.4864864864864865,0.6283783783783784,0.5135135135135135,0.6013513513513513,0.6486486486486487
49,DWDP,0.6420022249221802,-1.880270809401975e-08,0.3998980067921112,0.8826919257099536,0.7619047571742346,0.375,0.6349206349206349,0.375,0.6666666666666666,0.5625,0.49206349206349204,0.4375
